24964624,25227436,967 WT,1
24964624,25262792,967 WT,1
24964624,16654980,967 WT,1
24964624,17755052,967 WT,1
24964624,56649450,967 WT,1
24964624,52913813,967 WT,1
24964624,52913813,967 WT,1
24964624,52913813,967 WT,1
24964624,52913813,967 WT,1
24964624,52913813,967 WT,1
24964624,52913813,967 WT,1
24964624,52913813,967 WT,1
24964624,52913813,967 WT,1
24964624,52913813,967 WT,1
25227436,16654980,967 WT,1
25227436,17755052,967 WT,1
25227436,56649450,967 WT,0
25227436,52913813,967 WT,1
56599293,24964624,967 WT,1
56599293,25227436,967 WT,1
56599293,86661883,967 WT,1
56599293,51039095,967 WT,1
56599293,25262792,967 WT,1
56599293,17755052,967 WT,1
56599293,52913813,967 WT,1
54761306,24964624,967 WT,0
54761306,25227436,967 WT,1
54761306,86661883,967 WT,0
54761306,51039095,967 WT,0
54761306,10127622,967 WT,1
54761306,25262792,967 WT,1
54761306,17755052,967 WT,0
54761306,52913813,967 WT,0
86661883,24964624,967 WT,1
86661883,51039095,967 WT,1
86661883,10127622,967 WT,1
86661883,25262792,967 WT,1
86661883,16654980,967 WT,1
86661883,17755052,967 WT,1
86661883,56649450,967 WT,1
86661883,52913813,967 WT,1
10184653,24964624,967 WT,1
10184653,25227436,967 WT,1
10184653,86661883,967 WT,1
10184653,51039095,967 WT,1
10184653,10127622,967 WT,1
10184653,25262792,967 WT,1
10184653,17755052,967 WT,1
10184653,52913813,967 WT,1
11488320,24964624,967 WT,1
11488320,25227436,967 WT,1
11488320,86661883,967 WT,1
11488320,51039095,967 WT,1
11488320,10127622,967 WT,1
11488320,25262792,967 WT,1
11488320,16654980,967 WT,1
11488320,17755052,967 WT,1
11488320,56649450,967 WT,0
11488320,52913813,967 WT,0
11488320,52913813,967 WT,0
11488320,52913813,967 WT,0
11488320,52913813,967 WT,0
11488320,52913813,967 WT,0
11488320,52913813,967 WT,0
11488320,52913813,967 WT,0
11488320,52913813,967 WT,0
11488320,52913813,967 WT,0
57519543,24964624,967 WT,0
57519543,25227436,967 WT,1
57519543,86661883,967 WT,1
57519543,10127622,967 WT,1
57519543,25262792,967 WT,0
57519543,17755052,967 WT,0
57519543,52913813,967 WT,1
57519543,52913813,967 WT,1
51039095,25227436,967 WT,1
51039095,25262792,967 WT,1
51039095,17755052,967 WT,1
51039095,56649450,967 WT,1
25262792,10127622,967 WT,1
23725625,24964624,967 WT,1
23725625,25227436,967 WT,1
23725625,86661883,967 WT,1
23725625,51039095,967 WT,1
23725625,10127622,967 WT,1
23725625,25262792,967 WT,1
23725625,17755052,967 WT,1
23725625,52913813,967 WT,1
16654980,10127622,967 WT,1
16654980,25262792,967 WT,1
17755052,10127622,967 WT,1
17755052,25262792,967 WT,1
56649450,10127622,967 WT,1
56649450,25262792,967 WT,1
56649450,16654980,967 WT,1
56649450,17755052,967 WT,1
52913813,10127622,967 WT,1
52913813,25262792,967 WT,1
52913813,56649450,967 WT,1
58423153,24964624,967 WT,1
58423153,25227436,967 WT,1
58423153,86661883,967 WT,1
58423153,51039095,967 WT,1
58423153,10127622,967 WT,1
58423153,25262792,967 WT,1
58423153,17755052,967 WT,1
58423153,52913813,967 WT,1
58423153,52913813,967 WT,1
58423153,52913813,967 WT,1
58423153,52913813,967 WT,1
58423153,52913813,967 WT,1
58423153,52913813,967 WT,1
58423153,52913813,967 WT,1
58423153,52913813,967 WT,1
58423153,52913813,967 WT,1
58423153,52913813,967 WT,1
58423153,52913813,967 WT,1
58423153,52913813,967 WT,1
58423153,52913813,967 WT,1
58423153,52913813,967 WT,1
58423153,52913813,967 WT,1
58423153,52913813,967 WT,1
